,date,1. open,2. high,3. low,4. close
USDJPY,2024-01-01,140.84,140.914,140.779,140.866
USDJPY,2023-12-29,141.386,141.913,140.794,140.998
USDJPY,2023-12-28,141.812,141.824,140.244,141.399
USDJPY,2023-12-27,142.388,142.848,141.546,141.82
USDJPY,2023-12-26,142.299,142.634,142.084,142.387
USDJPY,2023-12-25,142.424,142.541,142.087,142.229
USDJPY,2023-12-22,142.102,142.662,141.859,142.401
USDJPY,2023-12-21,143.562,143.588,142.04,142.102
USDJPY,2023-12-20,143.82,144.099,143.258,143.543
USDJPY,2023-12-19,142.737,144.955,142.242,143.82
USDJPY,2023-12-18,142.056,143.158,142.046,142.737
USDJPY,2023-12-15,141.843,142.464,141.426,142.141
USDJPY,2023-12-14,142.87,142.909,140.954,141.859
USDJPY,2023-12-13,145.447,145.993,142.634,142.879
USDJPY,2023-12-12,146.144,146.183,144.727,145.449
USDJPY,2023-12-11,144.902,146.589,144.806,146.143
USDJPY,2023-12-08,144.099,145.216,142.492,144.893
USDJPY,2023-12-07,147.292,147.327,141.615,144.098
USDJPY,2023-12-06,147.136,147.499,146.891,147.308
GBPUSD,2024-04-23,1.23492,1.24585,1.23315,1.24492
GBPUSD,2024-04-22,1.23678,1.23921,1.2299,1.23495
GBPUSD,2024-04-19,1.2438,1.24682,1.23663,1.23695
GBPUSD,2024-04-18,1.24547,1.24845,1.24332,1.24391
GBPUSD,2024-04-17,1.24273,1.24817,1.24166,1.24548
GBPUSD,2024-04-16,1.24449,1.24719,1.24053,1.24258
GBPUSD,2024-04-15,1.24486,1.24984,1.24355,1.24434
GBPUSD,2024-04-12,1.25539,1.25587,1.24263,1.245
GBPUSD,2024-04-11,1.2537,1.25785,1.25103,1.25544
GBPUSD,2024-04-10,1.26755,1.27078,1.25197,1.25361
GBPUSD,2024-04-09,1.26531,1.27093,1.26483,1.26755
GBPUSD,2024-04-08,1.26293,1.26641,1.26129,1.26528
GBPUSD,2024-04-05,1.26409,1.26483,1.2574,1.2636
GBPUSD,2024-04-04,1.26496,1.26836,1.26325,1.26409
GBPUSD,2024-04-03,1.25789,1.26559,1.2562,1.26496
GBPUSD,2024-04-02,1.25527,1.25797,1.25391,1.25788
GBPUSD,2024-04-01,1.26258,1.2642,1.2539,1.25519
GBPUSD,2024-03-29,1.26205,1.26451,1.26092,1.2623
GBPUSD,2024-03-28,1.26368,1.26546,1.25855,1.2619
GBPUSD,2024-03-27,1.26289,1.26411,1.2605,1.2637
GBPUSD,2024-03-26,1.26363,1.2668,1.26199,1.26289
GBPUSD,2024-03-25,1.25986,1.26524,1.25893,1.26364
GBPUSD,2024-03-22,1.26572,1.26751,1.25748,1.2601
GBPUSD,2024-03-21,1.27827,1.28033,1.265,1.26567
GBPUSD,2024-03-20,1.27214,1.2787,1.26839,1.2783
GBPUSD,2024-03-19,1.27281,1.27329,1.26673,1.27201
GBPUSD,2024-03-18,1.27335,1.27467,1.27176,1.27283
GBPUSD,2024-03-15,1.27524,1.2759,1.27247,1.2739
GBPUSD,2024-03-14,1.27973,1.2823,1.27302,1.2753
GBPUSD,2024-03-13,1.27912,1.28112,1.2774,1.27977
GBPUSD,2024-03-12,1.28117,1.28233,1.27457,1.27919
GBPUSD,2024-03-11,1.28538,1.2862,1.27947,1.28127
GBPUSD,2024-03-08,1.28071,1.28937,1.28007,1.28548
GBPUSD,2024-03-07,1.273,1.2811,1.27226,1.28074
GBPUSD,2024-03-06,1.27043,1.27617,1.26897,1.27309
GBPUSD,2024-03-05,1.26911,1.27348,1.26707,1.27047
GBPUSD,2024-03-04,1.26508,1.27065,1.26468,1.26913
GBPUSD,2024-03-01,1.26237,1.26638,1.25994,1.2653
GBPUSD,2024-02-29,1.26605,1.26817,1.26119,1.26231
GBPUSD,2024-02-28,1.26852,1.26865,1.2621,1.26615
GBPUSD,2024-02-27,1.26841,1.26967,1.26599,1.26834
GBPUSD,2024-02-26,1.26754,1.26995,1.26562,1.26848
GBPUSD,2024-02-23,1.26597,1.27015,1.26479,1.26683
GBPUSD,2024-02-22,1.26372,1.27097,1.2611,1.26594
GBPUSD,2024-02-21,1.26217,1.26418,1.2602,1.26372
GBPUSD,2024-02-20,1.25912,1.26685,1.25789,1.26221
GBPUSD,2024-02-19,1.2599,1.26295,1.25829,1.25935
GBPUSD,2024-02-16,1.25976,1.26245,1.25503,1.25978
GBPUSD,2024-02-15,1.25645,1.26025,1.25407,1.25988
GBPUSD,2024-02-14,1.25916,1.2611,1.2535,1.25655
GBPUSD,2024-02-13,1.26283,1.26875,1.25726,1.25916
GBPUSD,2024-02-12,1.2621,1.26546,1.26057,1.26285
GBPUSD,2024-02-09,1.26161,1.26429,1.25986,1.26247
GBPUSD,2024-02-08,1.26253,1.26388,1.25714,1.26172
GBPUSD,2024-02-07,1.25961,1.26417,1.25903,1.2625
GBPUSD,2024-02-06,1.25337,1.26033,1.25274,1.25946
GBPUSD,2024-02-05,1.26332,1.26366,1.25177,1.25324
GBPUSD,2024-02-02,1.27419,1.27721,1.26136,1.26284
GBPUSD,2024-02-01,1.26868,1.27557,1.26248,1.27425
GBPUSD,2024-01-31,1.26985,1.27507,1.26575,1.26863
GBPUSD,2024-01-30,1.27061,1.27211,1.26399,1.26983
GBPUSD,2024-01-29,1.26952,1.2719,1.26615,1.27086
GBPUSD,2024-01-26,1.27072,1.27583,1.2675,1.27025
GBPUSD,2024-01-25,1.27252,1.27425,1.26812,1.27068
GBPUSD,2024-01-24,1.26861,1.27748,1.26765,1.27244
GBPUSD,2024-01-23,1.27062,1.27471,1.26487,1.26856
