,symbol,date,1. open_x,2. high_x,3. low_x,4. close_x,5. volume,daily_return,currencyPair,1. open_y,2. high_y,3. low_y,4. close_y
555,GOOGL,2024-01-25,150.065,153.05,149.54,151.87,29149069.0,-0.206984919670139,EURUSD,1.08843,1.09018,1.08214,1.08454
556,GOOGL,2024-01-25,150.065,153.05,149.54,151.87,29149069.0,-0.206984919670139,USDJPY,147.505,147.958,147.077,147.658
557,GOOGL,2024-01-25,150.065,153.05,149.54,151.87,29149069.0,-0.206984919670139,GBPUSD,1.27252,1.27425,1.26812,1.27068
558,AAPL,2024-01-24,195.42,196.38,194.34,194.5,53463269.0,0.16995416387701745,EURUSD,1.0854,1.09323,1.08462,1.08843
559,AAPL,2024-01-24,195.42,196.38,194.34,194.5,53463269.0,0.16995416387701745,USDJPY,148.303,148.391,146.644,147.494
560,AAPL,2024-01-24,195.42,196.38,194.34,194.5,53463269.0,0.16995416387701745,GBPUSD,1.26861,1.27748,1.26765,1.27244
561,MSFT,2024-01-24,401.54,405.63,400.45,402.56,23281889.0,-0.5705535110035354,EURUSD,1.0854,1.09323,1.08462,1.08843
562,MSFT,2024-01-24,401.54,405.63,400.45,402.56,23281889.0,-0.5705535110035354,USDJPY,148.303,148.391,146.644,147.494
563,MSFT,2024-01-24,401.54,405.63,400.45,402.56,23281889.0,-0.5705535110035354,GBPUSD,1.26861,1.27748,1.26765,1.27244
564,GOOGL,2024-01-24,148.54,149.855,148.1,148.7,25155644.0,-2.087311516428536,EURUSD,1.0854,1.09323,1.08462,1.08843
565,GOOGL,2024-01-24,148.54,149.855,148.1,148.7,25155644.0,-2.087311516428536,USDJPY,148.303,148.391,146.644,147.494
566,GOOGL,2024-01-24,148.54,149.855,148.1,148.7,25155644.0,-2.087311516428536,GBPUSD,1.26861,1.27748,1.26765,1.27244
567,AAPL,2024-01-23,195.02,195.75,193.8299,195.18,42355590.0,0.34961439588689913,EURUSD,1.0882,1.09162,1.08214,1.08541
568,AAPL,2024-01-23,195.02,195.75,193.8299,195.18,42355590.0,0.34961439588689913,USDJPY,148.082,148.696,146.967,148.327
569,AAPL,2024-01-23,195.02,195.75,193.8299,195.18,42355590.0,0.34961439588689913,GBPUSD,1.27062,1.27471,1.26487,1.26856
570,MSFT,2024-01-23,395.75,399.38,393.93,398.9,20525882.0,-0.9091812400635946,EURUSD,1.0882,1.09162,1.08214,1.08541
571,MSFT,2024-01-23,395.75,399.38,393.93,398.9,20525882.0,-0.9091812400635946,USDJPY,148.082,148.696,146.967,148.327
572,MSFT,2024-01-23,395.75,399.38,393.93,398.9,20525882.0,-0.9091812400635946,GBPUSD,1.27062,1.27471,1.26487,1.26856
573,GOOGL,2024-01-23,145.89,147.182,145.5,147.04,21636129.0,-1.116341627437789,EURUSD,1.0882,1.09162,1.08214,1.08541
574,GOOGL,2024-01-23,145.89,147.182,145.5,147.04,21636129.0,-1.116341627437789,USDJPY,148.082,148.696,146.967,148.327
575,GOOGL,2024-01-23,145.89,147.182,145.5,147.04,21636129.0,-1.116341627437789,GBPUSD,1.27062,1.27471,1.26487,1.26856
576,AAPL,2024-01-22,192.3,195.33,192.26,193.89,60133852.0,-0.6609283738088001,EURUSD,1.08901,1.09095,1.08797,1.08824
577,AAPL,2024-01-22,192.3,195.33,192.26,193.89,60133852.0,-0.6609283738088001,USDJPY,148.237,148.304,147.614,148.095
578,AAPL,2024-01-22,192.3,195.33,192.26,193.89,60133852.0,-0.6609283738088001,GBPUSD,1.26889,1.27327,1.26859,1.27079
579,MSFT,2024-01-22,400.02,400.62,393.59,396.51,27016902.0,-0.5991476560541442,EURUSD,1.08901,1.09095,1.08797,1.08824
580,MSFT,2024-01-22,400.02,400.62,393.59,396.51,27016902.0,-0.5991476560541442,USDJPY,148.237,148.304,147.614,148.095
581,MSFT,2024-01-22,400.02,400.62,393.59,396.51,27016902.0,-0.5991476560541442,GBPUSD,1.26889,1.27327,1.26859,1.27079
582,GOOGL,2024-01-22,147.1,148.39,145.84,145.99,32200369.0,-0.7140914036996571,EURUSD,1.08901,1.09095,1.08797,1.08824
583,GOOGL,2024-01-22,147.1,148.39,145.84,145.99,32200369.0,-0.7140914036996571,USDJPY,148.237,148.304,147.614,148.095
584,GOOGL,2024-01-22,147.1,148.39,145.84,145.99,32200369.0,-0.7140914036996571,GBPUSD,1.26889,1.27327,1.26859,1.27079
585,AAPL,2024-01-19,189.33,191.95,188.82,191.56,68902985.0,-1.2017123111042305,EURUSD,1.08757,1.08983,1.08654,1.0896
586,AAPL,2024-01-19,189.33,191.95,188.82,191.56,68902985.0,-1.2017123111042305,USDJPY,148.15,148.804,147.834,148.128
587,AAPL,2024-01-19,189.33,191.95,188.82,191.56,68902985.0,-1.2017123111042305,GBPUSD,1.27051,1.27146,1.26608,1.27008
588,MSFT,2024-01-19,395.76,398.67,393.5,398.67,29331136.0,0.5447529696603004,EURUSD,1.08757,1.08983,1.08654,1.0896
589,MSFT,2024-01-19,395.76,398.67,393.5,398.67,29331136.0,0.5447529696603004,USDJPY,148.15,148.804,147.834,148.128
590,MSFT,2024-01-19,395.76,398.67,393.5,398.67,29331136.0,0.5447529696603004,GBPUSD,1.27051,1.27146,1.26608,1.27008
591,GOOGL,2024-01-19,144.74,146.45,144.38,146.38,34271867.0,0.2671415850400649,EURUSD,1.08757,1.08983,1.08654,1.0896
592,GOOGL,2024-01-19,144.74,146.45,144.38,146.38,34271867.0,0.2671415850400649,USDJPY,148.15,148.804,147.834,148.128
593,GOOGL,2024-01-19,144.74,146.45,144.38,146.38,34271867.0,0.2671415850400649,GBPUSD,1.27051,1.27146,1.26608,1.27008
594,AAPL,2024-01-18,186.09,189.14,185.83,188.63,78005754.0,-1.5295468782626886,EURUSD,1.08811,1.09068,1.08464,1.08762
595,AAPL,2024-01-18,186.09,189.14,185.83,188.63,78005754.0,-1.5295468782626886,USDJPY,148.139,148.3,147.65,148.153
596,AAPL,2024-01-18,186.09,189.14,185.83,188.63,78005754.0,-1.5295468782626886,GBPUSD,1.26753,1.27082,1.26476,1.27047
597,MSFT,2024-01-18,391.72,393.99,390.12,393.87,23392068.0,-1.2040033110091053,EURUSD,1.08811,1.09068,1.08464,1.08762
598,MSFT,2024-01-18,391.72,393.99,390.12,393.87,23392068.0,-1.2040033110091053,USDJPY,148.139,148.3,147.65,148.153
599,MSFT,2024-01-18,391.72,393.99,390.12,393.87,23392068.0,-1.2040033110091053,GBPUSD,1.26753,1.27082,1.26476,1.27047
600,GOOGL,2024-01-18,142.05,144.21,141.99,143.48,25746417.0,-1.9811449651591762,EURUSD,1.08811,1.09068,1.08464,1.08762
601,GOOGL,2024-01-18,142.05,144.21,141.99,143.48,25746417.0,-1.9811449651591762,USDJPY,148.139,148.3,147.65,148.153
602,GOOGL,2024-01-18,142.05,144.21,141.99,143.48,25746417.0,-1.9811449651591762,GBPUSD,1.26753,1.27082,1.26476,1.27047
603,AAPL,2024-01-17,181.27,182.93,180.3,182.68,47317433.0,-3.154323278375648,EURUSD,1.0874,1.08845,1.08443,1.08827
604,AAPL,2024-01-17,181.27,182.93,180.3,182.68,47317433.0,-3.154323278375648,USDJPY,147.173,148.524,147.044,148.155
605,AAPL,2024-01-17,181.27,182.93,180.3,182.68,47317433.0,-3.154323278375648,GBPUSD,1.26365,1.26962,1.25961,1.26748
606,MSFT,2024-01-17,387.98,390.11,384.81,389.47,22234108.0,-1.1171198618833533,EURUSD,1.0874,1.08845,1.08443,1.08827
607,MSFT,2024-01-17,387.98,390.11,384.81,389.47,22234108.0,-1.1171198618833533,USDJPY,147.173,148.524,147.044,148.155
608,MSFT,2024-01-17,387.98,390.11,384.81,389.47,22234108.0,-1.1171198618833533,GBPUSD,1.26365,1.26962,1.25961,1.26748
609,GOOGL,2024-01-17,141.345,141.84,138.9,141.47,20968649.0,-1.400892110398655,EURUSD,1.0874,1.08845,1.08443,1.08827
610,GOOGL,2024-01-17,141.345,141.84,138.9,141.47,20968649.0,-1.400892110398655,USDJPY,147.173,148.524,147.044,148.155
611,GOOGL,2024-01-17,141.345,141.84,138.9,141.47,20968649.0,-1.400892110398655,GBPUSD,1.26365,1.26962,1.25961,1.26748
612,AAPL,2024-01-16,182.16,184.26,180.934,183.63,65603041.0,0.5200350339391147,EURUSD,1.09482,1.0951,1.0862,1.08751
613,AAPL,2024-01-16,182.16,184.26,180.934,183.63,65603041.0,0.5200350339391147,USDJPY,145.715,147.311,145.58,147.172
614,AAPL,2024-01-16,182.16,184.26,180.934,183.63,65603041.0,0.5200350339391147,GBPUSD,1.27263,1.27292,1.26188,1.26365
615,MSFT,2024-01-16,393.66,394.03,387.6229,390.27,27202268.0,0.20540734844787245,EURUSD,1.09482,1.0951,1.0862,1.08751
616,MSFT,2024-01-16,393.66,394.03,387.6229,390.27,27202268.0,0.20540734844787245,USDJPY,145.715,147.311,145.58,147.172
617,MSFT,2024-01-16,393.66,394.03,387.6229,390.27,27202268.0,0.20540734844787245,GBPUSD,1.27263,1.27292,1.26188,1.26365
618,GOOGL,2024-01-16,142.0,144.35,141.45,142.49,22670467.0,0.721000918922754,EURUSD,1.09482,1.0951,1.0862,1.08751
619,GOOGL,2024-01-16,142.0,144.35,141.45,142.49,22670467.0,0.721000918922754,USDJPY,145.715,147.311,145.58,147.172
